Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs,Ernährungsformen,Küchen,Mehr,Zahlungsarten
El Sombrero,"Restaurant, €€ (mittelpreisig)","Hohenzollernstraße 41, 66117 Saarbrücken",+49 681 584 69 62,Dienstag - Freitag: 17.30 bis 22.30 Uhr; Samstag: 16 bis 23.30 Uhr,http://www.el-sombrero.de,"Hola Amigos! Seit mehr als 30 Jahren haben wir das Vergnügen unseren Gästen die mexikanische Küche näher zu bringen. Wir befinden uns in Alt Saarbrücken, in einer ruhigen Straße mit Außenterrasse. Bei uns können Sie einen gemütlichen Abend vor Ort verbringen, Essen zum Mitnehmen bestellen oder wir liefen es bequem zu Ihnen nach Hause. Probieren Sie sich mit leckeren Speisen durch die bunte Welt Mexicos. Hervorrangende Cocktails, hausgemachten Eistee und Margaritas, runden Ihr Erlebnis ab. Wir freuen uns auf Ihren Besuch. Ihr El Sombrero Team","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105922_x_y_31c75f_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105923_x_y_293ecc_09.jpg","Glutenfrei, Vegan, Vegetarisch",Fusion,"Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
La Bastille,"Restaurant, €€ (mittelpreisig)","Kronenstraße 1 b, 66111 Saarbrücken",+49 681 31064 ,Dienstag - Donnerstag: 11.30 bis 14 Uhr; Freitag - Samstag: 11.30 bis 14 Uhr und 17.30 bis 21 Uhr,https://www.restaurant-labastille.de/,"Seit 30 Jahren führt Familie Grolier das gemütliche Restaurant ""La Bastille"" in Saarbrücken. In einer idyllischen Seitengasse in der Nähe des St. Johanner Marktes werden Gäste mit einer köstlichen Mischung aus deutscher und französischer Küche sowie herzlichem Service verwöhnt. Die Spezialität des Hauses ist das saarländische Kartoffelgericht Dibbelabbes aus eigener Herstellung. Serviert mit verschiedenen Beilagen und auf Wunsch auch vegetarisch. Die  Tagesempfehlungen bieten saisonale Leckereien, frischen Fisch und sobald verfügbar: frische Bouchot-Muscheln. Eine liebevoll sortierte Weinkarte rundet das Angebot ab. ""La Bastille"" verfügt über 30 Sitzplätze im Innen- & Außenbereich und ist bekannt für seinen Charme und seine Beständigkeit.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/106293_x_y_2e0938_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/106294_x_y_9a2ace_10.jpg",Vegetarisch,"Französisch, Saarländisch","Barrierefrei, Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien","American Express, Bar, EC, MasterCard, VisaCard"
Nori Ramen & Noodles,"Restaurant, €€ (mittelpreisig)","Mainzer Straße 61, 66121 Saarbrücken",+49 162 5205631,Montag - Samstag: 12 bis 14.30 & 18 bis 22 Uhr; Sonntag: 17 bis 21 Uhr,https://www.nori-noodlebar.de/,"Japanische Ramensuppen werden hier aus Iberico und Wagyuknochen vom Hunacker Hof über zwei Tage lang gekocht um den maximalen Geschmack zu generieren. Diese Besonderheiten machen diese Suppen zu einem unvergesslichem Erlebnis. Alle Gerichte werden hier mit großer Sorgfalt, Fachwissen, Liebe und Respekt zubereitet.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105444_x_y_a5fe31_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105445_x_y_f69f7e_09.jpg","Glutenfrei, Vegan, Vegetarisch","Asiatisch, Fusion","Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
QU4RTIER,"Restaurant, Bar / Kneipe, €€ (mittelpreisig)","Europaallee 25a, 66113 Saarbrücken",+49 681 41095960,Montag - Donnerstag: 11.30 bis 0 Uhr; Freitag: 11.30 bis 1 Uhr; Samstag: 17 bis 1 Uhr,https://qu4rtier.de/,"Unser Team gibt jeden Tag alles, um unsere Gästen mit den Gerichten aus Mittagstisch, Abendkarte und saisonal wechselnden Empfehlungs-Menüs mit außergewöhnlichen Genussmomenten zu verwöhnen. Gleichzeitig bieten wir eine moderne Location für Veranstaltungen. Ob Hochzeit, Weihnachtsfeier, Geburtstag oder Tagung - lasst uns euer Event zusammen unvergesslich machen.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/106108_x_y_6cc57a_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/106109_x_y_a8e7fa_10.jpg","Glutenfrei, Vegan, Vegetarisch","Fusion, wechselnde Karte","Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","American Express, Bar, EC, MasterCard, VisaCard"
Restaurant Handelshof,"Restaurant, €€€ (hochpreisig)","Wilhelm-Heinrich-Straße 17, 66130 Alt-Saarbrücken", +49 681 92 79 79 77,Dienstag - Freitag: 12 bis 15 Uhr und 18 bis 22.30 Uhr; Samstag: 18 bis 23 Uhr,https://restaurant-handelshof.de/,Klassisch-französische Küche mit Einflüssen aus aller Welt begleitet von tollen und einem entspannten unaufdringlichen Service. Das junge Team im Restaurant Handelshof hat sich vor allem die Kundenzufriedenheit auf die Fahne geschrieben. Kommen Sie vorbei und erleben Sie eine ganz besondere Zeit!,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104820_x_y_d07334_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104822_x_y_93434d_08.jpg","Glutenfrei, Vegan, Vegetarisch","Französisch, Fusion, wechselnde Karte","Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Flammerie Alt-Saarbrücken,"Restaurant, €€ (mittelpreisig)","Neumarkt 9, 66117 Saarbrücken",+49 681 92747902,Dienstag - Samstag: 17 bis 22 Uhr; Sonntag: 12 bis 21 Uhr,http://www.flammerie-alt-saarbruecken.de/,"Herzlich Willkommen in der gemütlichen Flammerie im Saarland, im Herzen Alt-Saarbrückens, nur wenige Meter von Schloss und Ludwigskirche entfernt. Wir bieten unseren Gästen eine große Auswahl frischer Flammkuchen in original ""Maître Flambée""-Qualität vom Steinofen: von Original Elsässisch über vegetarisch bis vegan.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104794_x_y_6bcf76_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104795_x_y_456a6b_08.jpg","Halal, Vegan, Vegetarisch",Französisch,"Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Masons - taste the world.,"Restaurant, €€ (mittelpreisig)","Futterstraße 18, 66111 Saarbrücken",+49 681 9580 5050,Montag - Sonntag: 17 bis 23 Uhr,https://masons-restaurant.de/,"Herzlich Willkommen bei masons - taste the world! Wenn Sie ein Feinschmecker sind und nach einem besonderen kulinarischen Erlebnis suchen, dann ist masons - taste the world der perfekte Ort für Sie. Wir sind ein gehobenes all-you-can-eat à la carte Restaurant, das Gerichte aus der ganzen Welt anbietet. Bei uns können Sie sich an einem Abend einmal um die Welt essen und sich dabei ihr eigenes Gänge Menü frei zusammenstellen. Als Gast unseres Restaurants werden Sie in eine Welt des Geschmacks und der Gastfreundschaft eintauchen, die Sie so schnell nicht vergessen werden. Wir bieten eine Vielzahl von Gerichten- von klassischen Spezialitäten bis hin zu innovativen Kreationen- die von den neuesten kulinarischen Trends inspiriert sind.",https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105447_x_y_33144a_09.jpg,"Glutenfrei, Halal, Vegan, Vegetarisch","Asiatisch, Französisch, Fusion, Italienisch, Spanisch, Türkisch, wechselnde Karte","Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Restaurant Indochine,"Restaurant, €€€ (hochpreisig)","Klausenerstrasse 23, 66115 Saarbrücken",+49 681 967 787 08,"Montag, Mittwoch - Sonntag: 12 bis 14.30 und 18 bis 22 Uhr",https://www.indochine-sb.com/,"Mit einer Erfahrung von über 30 Jahren wollen wir Sie mit unseren Kochkünsten überzeugen und Ihren hohen Ansprüchen gerecht werden. Unser Bestreben ist es, Ihnen mit einer frischen und authentischen Vietnamesischen und Französichen Küche eine einzigartige Kombination anzubieten. Mit frischen Zutaten, die sowohl gesund als auch leicht verträglich sind und aus denen hervorragende Geschmacksvariationen entstehen, laden wir Sie ein auf eine Kulinarische Reise in das ehemalige Indochine und zu vollkommen neuen Genüssen.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/105961_x_y_f1aac7_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/105962_x_y_cc3beb_10.jpg","Glutenfrei, Vegetarisch","Asiatisch, Französisch, Fusion, wechselnde Karte","Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","American Express, Bar, EC, MasterCard, VisaCard"
Brasserie Saarbrücken,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Café","Bahnhofstraß 38, 66111 Saarbrücken",+49 681 90 68 480,"Montag - Donnerstag, Sonntag: 9 bis 22 Uhr; Freitag - Samstag: 9 bis 0 Uhr",https://www.deine-brasserie.de/brasserie-saarbruecken,Dein Tag in der Brasserie beginnt mit einem klassisch französischen Frühstück oder unserem täglichen Frühstücks- oder Brunchbuffet… Lass dich dann vom Charme der französischen Küche einfangen. Wie wäre es mit einem leckeren Elsässer Flammkuchen oder dem beliebten Croque Monsieur? Oder schlägt dein Herz eher für ein zartes Entrecôte? In deiner Brasserie heißt es „schlemmen wie Gott in Frankreich“… Geniesse dazu tolle Drinks oder eine leckere Süssigkeit von unserer Eiskarte…Bon appétit!,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105562_x_y_ff1e9a_09.png,"Glutenfrei, Vegan, Vegetarisch",wechselnde Karte,"Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","American Express, Bar, EC, MasterCard, VisaCard"
LUUC - Café Deli Wein,"Restaurant, €€ (mittelpreisig), Café","Türkenstraße 17, 66111 Saarbrücken",+49 681 93885265,"Montag - Mittwoch, Sonntag: 9.30 bis 20.30 Uhr; Donnerstag - Samstag: 9.30 bis 22 Uhr",http://www.cafeluuc.de,"Das LUUC ist ein wunderschönes Café mit Wohlfühlfaktor. Das Hauptaugenmerk liegt auf veganen sowie vegetarischen Gerichten. Das Café hat eine große Auswahl zum Frühstück und Brunchen. Frühstücken kann man hier übrigens den ganzen Tag. Ab halb 12 gibt es dann zusätzlich noch verschiedene Hauptspeisen. Das Highlight ist auf jeden Fall unter anderem die Tapasplatte zum Teilen. Du kannst an kälteren Tagen gemütlich im Café verweilen und an wärmeren Tagen die Sonne auf der Sonnenterrasse genießen. Ach ja und hier gibt es täglich selbstgebackene Zimtschnecken, sogar vegan.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104771_x_y_5fdb25_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104773_x_y_362dbc_08.jpg","Glutenfrei, Halal, Vegan, Vegetarisch",wechselnde Karte,"Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","American Express, Bar, EC, MasterCard, VisaCard"
Bistro Futterhaus,"Restaurant, €€ (mittelpreisig)","Graf-Stauffenberg-Straße, 66121 Saarbrücken",+49 681 32772,Montag - Sonntag: 10 bis 18 Uhr,https://zoo.saarbruecken.de/dein_zoobesuch/essen_und_trinken,Neben dem Spielplatz werden Zoobesucher mit Köstlichkeiten für jeden Appetit verwöhnt.,https://einkaufen.saarbruecken.de/cache/media/attachments/2022/10/97399_x_y_f15514_10.jpg,null,Saarländisch,"Familienfreundlich, Hundefreundlich, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Historische Tabaksmühle,"Restaurant, €€ (mittelpreisig), Biergarten","Julius-Kiefer-Straße 146, 66119 Saarbrücken",+49 681 9851930,Dienstag - Freitag: 11.45 bis 14.30 Uhr und 18 bis 22.30 Uhr; Samstag: 17.30 bis 22.30 Uhr; Sonntag: 11.45 bis 22 Uhr,http://www.tabaksmuehle.de/,"Idylle hat viele Gesichter, und manchmal findet man sie auch mitten in der Stadt - Willkommen in der Tabaksmühle! Feine Landhausküche, saisonale Empfehlungen und saarländische Spezialitäten machen die Tabaksmühle zu einem beliebten Treffpunkt in St. Arnual.","https://einkaufen.saarbruecken.de/cache/media/attachments/2016/06/42019_x_y_049032_06.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105522_x_y_ed9a0b_09.jpg","Glutenfrei, Vegan, Vegetarisch","Saarländisch, wechselnde Karte","Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Moccachili,"€ (günstig), Café, Biergarten","Cora-Eppstein-Platz/Evangelisch-Kirch-Straße 8, 66111 Saarbrücken",+49 681 5953578,"Montag, Donnerstag - Freitag: 9.30 bis 20 Uhr; Dienstag - Mittwoch, Samstag: 9.30 bis 19 Uhr; Sonntag: 13 bis 18 Uhr",https://moccachili.blogspot.com/,"Kaffee, Kuchen, Erfrischungsgetränke und Speisen in ruhiger Atmosphäre genießen",https://einkaufen.saarbruecken.de/cache/media/attachments/2020/11/81182_x_y_77f28a_11.jpg,"Vegan, Vegetarisch","Kuchen, Torten und Pâtisserie, Saarländisch",Sitzplätze im Freien,null
Ulanen Hof - Gasthof und Biergarten,"Restaurant, €€ (mittelpreisig), Biergarten","Verlängerte Julius-Kiefer-Straße 219a, 66119 Saarbrücken",+49 681 92558555,"Donnerstag: 15 Uhr bis 20 Uhr; Freitag - Sonntag, Montag: 11 Uhr bis 20 Uhr",https://ulanen-hof.de/,"Wir bieten eine breite Auswahl an frisch gezapften Bieren, regionalen Weinen und vielen erfrischenden alkoholfreien Getränken. Unsere Speisen bereiten wir mit viel Liebe und größtenteils aus regionalen und/oder biologisch erzeugten Produkten zu. Entspannt euch mitten im Grünen und lasst euch von uns verwöhnen. Der Ulanen Hof bietet bei jedem Wetter das passende Plätzchen, ob im Innenbereich, auf der überdachten Terrasse oder im Biergarten inmitten der Natur. Wir freuen uns auf euch!","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104843_x_y_a19026_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104844_x_y_6ad1e9_08.jpg","Vegan, Vegetarisch",wechselnde Karte,"Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien","Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
