Name;Typ;Stadt;Land;Längengrad;Breitengrad;Quelle;Operator;Details
Feyen (Trier), Zum Römersprudel;Bushaltestelle;Trier;Deutschland;6.6217873;49.7205233;OpenStreetMap;Stadt Trier;network: VRT
Feyen (Trier), Grafschaft;Bushaltestelle;Trier;Deutschland;6.6269814;49.7201437;OpenStreetMap;Stadt Trier;"wheelchair: limited; network: VRT"
Irsch (Trier), Irscher Hof;Bushaltestelle;Trier;Deutschland;6.6797984;49.7341204;OpenStreetMap;Stadt Trier;network: VRT
Mariahof (Trier), Wolkerstraße;Bushaltestelle;Trier;Deutschland;6.6580889;49.7284949;OpenStreetMap;;wheelchair: yes
Olewig (Trier), Caspar-Olevian-Straße;Bushaltestelle;Trier;Deutschland;6.6653296;49.7400575;OpenStreetMap;Stadt Trier;network: VRT
Trier, Wasserweg;Bushaltestelle;Trier;Deutschland;6.6537864;49.765137;OpenStreetMap;;wheelchair: yes
Trier, Wasserweg;Bushaltestelle;Trier;Deutschland;6.6535945;49.7651811;OpenStreetMap;;wheelchair: yes
Trier, Zurlaubener Ufer;Bushaltestelle;Trier;Deutschland;6.6342197;49.7637712;OpenStreetMap;;
Feyen (Trier), Adastraße;Bushaltestelle;Trier;Deutschland;6.6234024;49.722699;OpenStreetMap;Stadt Trier;network: VRT
Olewig (Trier), Tiergarten;Bushaltestelle;Trier;Deutschland;6.6550549;49.7434625;OpenStreetMap;;
Olewig (Trier), Retzgrubenweg;Bushaltestelle;Trier;Deutschland;6.6611819;49.7440657;OpenStreetMap;;
Trier, Nikolaus-Koch-Platz;Bushaltestelle;Trier;Deutschland;6.6378328;49.7571291;OpenStreetMap;;wheelchair: yes
Trier, St.-Mergener-Straße;Bushaltestelle;Trier;Deutschland;6.6409918;49.765224;OpenStreetMap;;
Trier, Remigiusstraße;Bushaltestelle;Trier;Deutschland;6.6387908;49.7640202;OpenStreetMap;;wheelchair: limited
Trier, Remigiusstraße;Bushaltestelle;Trier;Deutschland;6.638799;49.7639623;OpenStreetMap;Stadt Trier;network: VRT
Heiligkreuz (Trier), Bernhardstraße;Bushaltestelle;Trier;Deutschland;6.6438285;49.7456429;OpenStreetMap;;
Trier, Schützenstraße;Bushaltestelle;Trier;Deutschland;6.6500256;49.7499274;OpenStreetMap;Stadt Trier;network: VRT
Trier, Helenenstraße;Bushaltestelle;Trier;Deutschland;6.6494738;49.7530093;OpenStreetMap;Stadt Trier;network: VRT
Trier, Messepark P+R;Bushaltestelle;Trier;Deutschland;6.6227036;49.7390851;OpenStreetMap;;
Kürenz (Trier), Am Wasserturm;Bushaltestelle;Trier;Deutschland;6.6638445;49.7522696;OpenStreetMap;Stadt Trier;network: VRT
Olewig (Trier), Brettenbach;Bushaltestelle;Trier;Deutschland;6.6671134;49.7437202;OpenStreetMap;;
Kürenz (Trier), Schönbornstraße;Bushaltestelle;Trier;Deutschland;6.6588051;49.7592726;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Schönbornstraße;Bushaltestelle;Trier;Deutschland;6.6581821;49.7594302;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Nellstraße;Bushaltestelle;Trier;Deutschland;6.6608969;49.7603715;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Domänenstraße;Bushaltestelle;Trier;Deutschland;6.6666678;49.7631863;OpenStreetMap;;
Kürenz (Trier), Alberoweg;Bushaltestelle;Trier;Deutschland;6.6633527;49.7632483;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Kolonnenweg;Bushaltestelle;Trier;Deutschland;6.6709962;49.761676;OpenStreetMap;Stadt Trier;network: VRT
Trier, Kurfürstenstraße;Bushaltestelle;Trier;Deutschland;6.6528308;49.7520429;OpenStreetMap;Stadt Trier;network: VRT
Kernscheid (Trier), Höhenweg 1;Bushaltestelle;Trier;Deutschland;6.6696929;49.7388934;OpenStreetMap;Stadt Trier;network: VRT
Olewig (Trier), Auf der Hill;Bushaltestelle;Trier;Deutschland;6.6641378;49.7411334;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Avelerhof;Bushaltestelle;Trier;Deutschland;6.6795695;49.758957;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Martin-Schunck-Straße;Bushaltestelle;Trier;Deutschland;6.6741431;49.7541422;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Kürenz (Trier), Kuno-Stapel-Straße;Bushaltestelle;Trier;Deutschland;6.6730569;49.7547316;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Trier, Thyrsusstraße;Bushaltestelle;Trier;Deutschland;6.6638941;49.7673373;OpenStreetMap;Stadt Trier;network: VRT
Trier, An der Feldport;Bushaltestelle;Trier;Deutschland;6.6580602;49.7681127;OpenStreetMap;;wheelchair: yes
Trier, An der Feldport;Bushaltestelle;Trier;Deutschland;6.6573983;49.7678736;OpenStreetMap;;wheelchair: yes
Trier, Hochwaldstraße;Bushaltestelle;Trier;Deutschland;6.6614083;49.7697039;OpenStreetMap;;
Trier, Hochwaldstraße;Bushaltestelle;Trier;Deutschland;6.6607525;49.7695238;OpenStreetMap;;
Trier, SWT-Arena;Bushaltestelle;Trier;Deutschland;6.6642385;49.7710645;OpenStreetMap;;
Trier, Südallee/Kaiserstraße;Bushaltestelle;Trier;Deutschland;6.6347581;49.750324;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Pallien (Trier), Hochschule Trier;Bushaltestelle;Trier;Deutschland;6.6263801;49.7676259;OpenStreetMap;Stadt Trier;network: VRT
Weismark (Trier), Altenheim Härenwies;Bushaltestelle;Trier;Deutschland;6.6437008;49.7274553;OpenStreetMap;;
Trier, St. Matthias;Bushaltestelle;Trier;Deutschland;6.6318806;49.7398246;OpenStreetMap;;wheelchair: yes
Trier, St. Matthias;Bushaltestelle;Trier;Deutschland;6.6317026;49.739458;OpenStreetMap;;wheelchair: yes
Trier, Mustorstraße;Bushaltestelle;Trier;Deutschland;6.6450938;49.7539368;OpenStreetMap;;
Trier, Gartenfeldstraße;Bushaltestelle;Trier;Deutschland;6.6469406;49.7535766;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Universität Campus 2;Bushaltestelle;Trier;Deutschland;6.6762302;49.7491602;OpenStreetMap;Stadt Trier;network: VRT
Trier, Barbarathermen;Bushaltestelle;Trier;Deutschland;6.6318852;49.7504243;OpenStreetMap;;wheelchair: limited
Trier, Barbaraufer/Römerbrücke;Bushaltestelle;Trier;Deutschland;6.6287859;49.75084;OpenStreetMap;;
Pallien (Trier), Hochschule Trier;Bushaltestelle;Trier;Deutschland;6.6267845;49.767499;OpenStreetMap;;
Pallien (Trier), Hochschule Trier;Bushaltestelle;Trier;Deutschland;6.6262431;49.7675599;OpenStreetMap;;
Trier, Pacelliufer;Bushaltestelle;Trier;Deutschland;6.6281236;49.7442694;OpenStreetMap;;
Pallien (Trier), Auf der Jüngt;Bushaltestelle;Trier;Deutschland;6.6254391;49.7647277;OpenStreetMap;;
Pallien (Trier), Auf der Jüngt;Bushaltestelle;Trier;Deutschland;6.6255094;49.7646445;OpenStreetMap;;
Trier, Petrisberg Aussicht;Bushaltestelle;Trier;Deutschland;6.6532039;49.7468138;OpenStreetMap;Stadt Trier;network: VRT
Heiligkreuz (Trier), Franz-Buß-Straße;Bushaltestelle;Trier;Deutschland;6.643976;49.7382272;OpenStreetMap;;
Heiligkreuz (Trier), Im Hopfengarten;Bushaltestelle;Trier;Deutschland;6.6410992;49.7436198;OpenStreetMap;;
Heiligkreuz (Trier), Im Hopfengarten;Bushaltestelle;Trier;Deutschland;6.6410048;49.7436411;OpenStreetMap;;wheelchair: yes
Heiligkreuz (Trier), Rotbachstraße;Bushaltestelle;Trier;Deutschland;6.6420246;49.741471;OpenStreetMap;;
Olewig (Trier), St.-Anna-Straße;Bushaltestelle;Trier;Deutschland;6.657115;49.7424751;OpenStreetMap;;
St. Medard (Trier), St. Medard;Bushaltestelle;Trier;Deutschland;6.6284675;49.730994;OpenStreetMap;;
Trier, Porta Nigra;Bushaltestelle;Trier;Deutschland;6.6443845;49.7594737;OpenStreetMap;Stadtwerke Trier;network: VRT
Trier, Porta Nigra;Bushaltestelle;Trier;Deutschland;6.6437892;49.7591733;OpenStreetMap;Stadtwerke Trier;network: VRT
Pallien (Trier), Sankt Urban;Bushaltestelle;Trier;Deutschland;6.6382306;49.7698963;OpenStreetMap;;
Trier, Kaiserthermen;Bushaltestelle;Trier;Deutschland;6.6405512;49.7501887;OpenStreetMap;;wheelchair: yes
Trier, Deutschherrenstraße;Bushaltestelle;Trier;Deutschland;6.6356479;49.7608111;OpenStreetMap;;wheelchair: yes
Kürenz (Trier), Behringstraße;Bushaltestelle;Trier;Deutschland;6.6771671;49.7500564;OpenStreetMap;;wheelchair: no
Trier, Petrisberg Aussicht;Bushaltestelle;Trier;Deutschland;6.6531611;49.7467803;OpenStreetMap;;wheelchair: no
Trier, Gartenfeldstraße;Bushaltestelle;Trier;Deutschland;6.6468976;49.7536325;OpenStreetMap;;wheelchair: yes
Trier, Gartenfeldstraße;Bushaltestelle;Trier;Deutschland;6.6469866;49.7534854;OpenStreetMap;;
Trier, Rathaus/Stadttheater;Bushaltestelle;Trier;Deutschland;6.6351033;49.7511734;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Trier, Rathaus/Stadttheater;Bushaltestelle;Trier;Deutschland;6.6355178;49.7515515;OpenStreetMap;;wheelchair: no
Trier, Feldstraße/Mutterhaus;Bushaltestelle;Trier;Deutschland;6.632109;49.7523854;OpenStreetMap;;wheelchair: no
Trier, Barbaraufer/Römerbrücke;Bushaltestelle;Trier;Deutschland;6.6301367;49.7520959;OpenStreetMap;;
Biewer (Trier), Donaustraße;Bushaltestelle;Trier;Deutschland;6.6645119;49.7792479;OpenStreetMap;;
Biewer (Trier), Donaustraße;Bushaltestelle;Trier;Deutschland;6.6646449;49.7793882;OpenStreetMap;;
Weismark (Trier), Kyrianderstraße;Bushaltestelle;Trier;Deutschland;6.6376531;49.7361707;OpenStreetMap;Stadt Trier;network: VRT
Heiligkreuz (Trier), Straßburger Allee;Bushaltestelle;Trier;Deutschland;6.641001;49.7392584;OpenStreetMap;Stadt Trier;network: VRT
Trier, Südbahnhof;Bushaltestelle;Trier;Deutschland;6.6350586;49.7454016;OpenStreetMap;;wheelchair: no
Trier, Nordallee;Bushaltestelle;Trier;Deutschland;6.638429;49.7616885;OpenStreetMap;;wheelchair: yes
Trier, Remigiusstraße;Bushaltestelle;Trier;Deutschland;6.6373217;49.764888;OpenStreetMap;;
Trier, St.-Mergener-Straße;Bushaltestelle;Trier;Deutschland;6.6412277;49.765648;OpenStreetMap;;
Trier-Nord, An der Hospitalsmühle;Bushaltestelle;Trier;Deutschland;6.6536389;49.7710619;OpenStreetMap;;wheelchair: yes
Trier-Nord, Castelforte;Bushaltestelle;Trier;Deutschland;6.659643;49.7715199;OpenStreetMap;;
Trier-Nord, Zurmaiener Straße Nord;Bushaltestelle;Trier;Deutschland;6.6589049;49.7722324;OpenStreetMap;;
Trier-Nord, Nordbad;Bushaltestelle;Trier;Deutschland;6.6482346;49.7697183;OpenStreetMap;;wheelchair: yes
Trier, Nordallee;Bushaltestelle;Trier;Deutschland;6.6385052;49.7615497;OpenStreetMap;;wheelchair: yes
Trier-West, Trierweilerweg;Bushaltestelle;Trier;Deutschland;6.6209506;49.7513108;OpenStreetMap;;
Trier, Karl-Marx-Haus;Bushaltestelle;Trier;Deutschland;6.6355636;49.7536932;OpenStreetMap;;
Mariahof (Trier), Am Mariahof;Bushaltestelle;Trier;Deutschland;6.6590117;49.733472;OpenStreetMap;;wheelchair: yes
Trier, Petrisberg;Bushaltestelle;Trier;Deutschland;6.6605682;49.7502008;OpenStreetMap;;wheelchair: yes
Trier, Trier Galerie;Bushaltestelle;Trier;Deutschland;6.6370603;49.7557133;OpenStreetMap;;wheelchair: yes
Trier, Charlottenstraße;Bushaltestelle;Trier;Deutschland;6.6443307;49.748212;OpenStreetMap;;
Heiligkreuz (Trier), Metzer Allee;Bushaltestelle;Trier;Deutschland;6.6435581;49.7469452;OpenStreetMap;;network: VRT
Heiligkreuz (Trier), Metzer Allee;Bushaltestelle;Trier;Deutschland;6.6428143;49.7477566;OpenStreetMap;Stadtwerke Trier;
Olewig (Trier), Hunsrückstraße;Bushaltestelle;Trier;Deutschland;6.6695816;49.7419797;OpenStreetMap;;wheelchair: yes
Olewig (Trier), Kleeburger Weg;Bushaltestelle;Trier;Deutschland;6.6733859;49.7411001;OpenStreetMap;;wheelchair: yes
Olewig (Trier), Kleeburger Weg;Bushaltestelle;Trier;Deutschland;6.6719855;49.7411339;OpenStreetMap;;wheelchair: yes
Trier, Zurlaubener Ufer;Bushaltestelle;Trier;Deutschland;6.6334559;49.7631742;OpenStreetMap;;
Trier, Südbahnhof;Bushaltestelle;Trier;Deutschland;6.6343111;49.7441221;OpenStreetMap;;"wheelchair: no; network: Verkehrsverbund Region Trier"
Trier, Südbahnhof;Bushaltestelle;Trier;Deutschland;6.6352647;49.7447834;OpenStreetMap;;wheelchair: no
Trier-West, Hohensteinstraße;Bushaltestelle;Trier;Deutschland;6.6219459;49.75242;OpenStreetMap;;wheelchair: yes
Pallien (Trier), Römerstraße;Bushaltestelle;Trier;Deutschland;6.6257131;49.759801;OpenStreetMap;;wheelchair: yes
Trier-West, Steinsweg;Bushaltestelle;Trier;Deutschland;6.623559;49.7568117;OpenStreetMap;;
Trier, Pacelliufer;Bushaltestelle;Trier;Deutschland;6.6280473;49.7442655;OpenStreetMap;;
Trier, Treviris;Bushaltestelle;Trier;Deutschland;6.6409949;49.7583632;OpenStreetMap;Stadt Trier;
Pallien (Trier), Palliener Straße;Bushaltestelle;Trier;Deutschland;6.6331686;49.7669158;OpenStreetMap;;wheelchair: yes
Pallien (Trier), Bitburger Straße;Bushaltestelle;Trier;Deutschland;6.6294267;49.7646633;OpenStreetMap;;network: Verkehrsverbund Region Trier
Trier, Petrisberg Aussicht;Bushaltestelle;Trier;Deutschland;6.653395;49.748554;OpenStreetMap;;wheelchair: no
Trier, Balduinsbrunnen/Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6497325;49.7579964;OpenStreetMap;;wheelchair: yes
Olewig (Trier), Tiergarten;Bushaltestelle;Trier;Deutschland;6.6540322;49.743821;OpenStreetMap;;
Trier, Nikolaus-Koch-Platz;Bushaltestelle;Trier;Deutschland;6.6379773;49.7570095;OpenStreetMap;;wheelchair: yes
Trier, Bei der Römerbrücke;Bushaltestelle;Trier;Deutschland;6.6279613;49.7515542;OpenStreetMap;;
Trier, Pacelliufer;Bushaltestelle;Trier;Deutschland;6.628353;49.745264;OpenStreetMap;;
Biewer (Trier), Süd;Bushaltestelle;Trier;Deutschland;6.6617971;49.7775086;OpenStreetMap;;
Trier, Gilbertstraße;Bushaltestelle;Trier;Deutschland;6.6361097;49.7476479;OpenStreetMap;;wheelchair: yes
Trier, Gilbertstraße;Bushaltestelle;Trier;Deutschland;6.6359688;49.7476419;OpenStreetMap;;wheelchair: yes
Trier, Franz-Georg-Straße;Bushaltestelle;Trier;Deutschland;6.6584517;49.7641161;OpenStreetMap;;wheelchair: yes
Kürenz (Trier), Am Wissenschaftspark;Bushaltestelle;Trier;Deutschland;6.6677056;49.7559236;OpenStreetMap;Stadt Trier;network: VRT
Olewig (Trier), Retzgrubenweg;Bushaltestelle;Trier;Deutschland;6.6596281;49.7430349;OpenStreetMap;;
Olewig (Trier), Brettenbach;Bushaltestelle;Trier;Deutschland;6.6656396;49.7429862;OpenStreetMap;;network: VRT
Olewig (Trier), Brettenbach;Bushaltestelle;Trier;Deutschland;6.666973;49.7436936;OpenStreetMap;;
Olewig (Trier), Tiergarten;Bushaltestelle;Trier;Deutschland;6.6548137;49.7438119;OpenStreetMap;;
Feyen (Trier), Auf dem Kirchspiel;Bushaltestelle;Trier;Deutschland;6.6276401;49.7271799;OpenStreetMap;;wheelchair: yes
Feyen (Trier), Auf dem Kirchspiel;Bushaltestelle;Trier;Deutschland;6.6279743;49.7273289;OpenStreetMap;;wheelchair: yes
Trier-Nord, Nells Park/Parkstraße;Bushaltestelle;Trier;Deutschland;6.666024;49.770867;OpenStreetMap;;
Trier, Franz-Georg-Straße;Bushaltestelle;Trier;Deutschland;6.657995;49.763313;OpenStreetMap;;wheelchair: yes
Trier, Franz-Georg-Straße;Bushaltestelle;Trier;Deutschland;6.6588061;49.7644911;OpenStreetMap;;wheelchair: yes
Heiligkreuz (Trier), Am Herrenbrüchen;Bushaltestelle;Trier;Deutschland;6.6453805;49.7440169;OpenStreetMap;;
Heiligkreuz (Trier), Hans-Böckler-Allee;Bushaltestelle;Trier;Deutschland;6.6456291;49.7416482;OpenStreetMap;;wheelchair: yes
Trier, Karl-Marx-Haus;Bushaltestelle;Trier;Deutschland;6.6364623;49.7535319;OpenStreetMap;Stadt Trier;network: VRT
Trier Hbf, Kürenzer Straße;Bushaltestelle;Trier;Deutschland;6.6530741;49.7582248;OpenStreetMap;Stadt Trier;network: VRT
Trier Hbf;Bushaltestelle;Trier;Deutschland;6.6533136;49.7581386;OpenStreetMap;;ref: 10
Trier, St. Paulin;Bushaltestelle;Trier;Deutschland;6.649782;49.7633175;OpenStreetMap;;
Trier, Helenenstraße;Bushaltestelle;Trier;Deutschland;6.649577;49.7529727;OpenStreetMap;Stadt Trier;network: VRT
Trier, Konstantin Basilika;Bushaltestelle;Trier;Deutschland;6.6421626;49.753578;OpenStreetMap;Stadt Trier;network: VRT
Trier, Barbaraufer/Römerbrücke;Bushaltestelle;Trier;Deutschland;6.63016;49.7520684;OpenStreetMap;;
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6521117;49.7580279;OpenStreetMap;Stadt Trier;network: VRT
Trier, Südallee/Kaiserstraße;Bushaltestelle;Trier;Deutschland;6.6359121;49.7502951;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Trier, Karl-Marx-Haus;Bushaltestelle;Trier;Deutschland;6.6365165;49.7537122;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Universität Campus 2;Bushaltestelle;Trier;Deutschland;6.6763305;49.7491547;OpenStreetMap;;
Kürenz (Trier), Behringstraße;Bushaltestelle;Trier;Deutschland;6.6771226;49.7506475;OpenStreetMap;;
Kürenz (Trier), Behringstraße;Bushaltestelle;Trier;Deutschland;6.6772789;49.7500631;OpenStreetMap;Stadt Trier;network: VRT
Olewig (Trier), Hunsrückstraße;Bushaltestelle;Trier;Deutschland;6.6696676;49.7419931;OpenStreetMap;Stadt Trier;network: VRT
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6521007;49.757812;OpenStreetMap;Stadt Trier;network: VRT
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6516884;49.7573713;OpenStreetMap;Stadt Trier;network: VRT
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6519995;49.7577038;OpenStreetMap;;
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6518805;49.7573265;OpenStreetMap;Stadt Trier;network: VRT
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6524528;49.7577321;OpenStreetMap;Stadt Trier;network: VRT
Trier, Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6522923;49.7577631;OpenStreetMap;Stadt Trier;network: VRT
Trier Hbf;Bushaltestelle;Trier;Deutschland;6.6532548;49.7578854;OpenStreetMap;;ref: 11
Trier Hbf;Bushaltestelle;Trier;Deutschland;6.6536438;49.7579957;OpenStreetMap;;ref: 13
Trier Hbf;Bushaltestelle;Trier;Deutschland;6.6513249;49.7556782;OpenStreetMap;;ref: 13
Trier Hbf;Bushaltestelle;Trier;Deutschland;6.6510273;49.7558238;OpenStreetMap;;ref: 10
Trier, Gartenfeldstraße;Bushaltestelle;Trier;Deutschland;6.6468694;49.7535256;OpenStreetMap;Stadt Trier;network: VRT
Biewer (Trier), Süd;Bushaltestelle;Trier;Deutschland;6.661755;49.7775297;OpenStreetMap;;wheelchair: limited
Biewer (Trier), Süd;Bushaltestelle;Trier;Deutschland;6.6627394;49.777915;OpenStreetMap;;
Pallien (Trier), Sankt Urban;Bushaltestelle;Trier;Deutschland;6.6391145;49.7702401;OpenStreetMap;;
Trier, Stadtbibliothek;Bushaltestelle;Trier;Deutschland;6.6408707;49.7513043;OpenStreetMap;;wheelchair: yes
Trier, Stadtbibliothek;Bushaltestelle;Trier;Deutschland;6.64123;49.7517903;OpenStreetMap;;wheelchair: yes
